symbol,base,quote,exchange,type,active
ETH/BTC,ETH,BTC,binance,spot,True
LTC/BTC,LTC,BTC,binance,spot,True
BNB/BTC,BNB,BTC,binance,spot,True
NEO/BTC,NEO,BTC,binance,spot,True
QTUM/ETH,QTUM,ETH,binance,spot,False
EOS/ETH,EOS,ETH,binance,spot,False
SNT/ETH,SNT,ETH,binance,spot,False
BNT/ETH,BNT,ETH,binance,spot,False
BCC/BTC,BCC,BTC,binance,spot,False
GAS/BTC,GAS,BTC,binance,spot,True
BNB/ETH,BNB,ETH,binance,spot,True
BTC/USDT,BTC,USDT,binance,spot,True
ETH/USDT,ETH,USDT,binance,spot,True
HSR/BTC,HSR,BTC,binance,spot,False
OAX/ETH,OAX,ETH,binance,spot,False
DNT/ETH,DNT,ETH,binance,spot,False
MCO/ETH,MCO,ETH,binance,spot,False
ICN/ETH,ICN,ETH,binance,spot,False
MCO/BTC,MCO,BTC,binance,spot,False
WTC/BTC,WTC,BTC,binance,spot,False
WTC/ETH,WTC,ETH,binance,spot,False
LRC/BTC,LRC,BTC,binance,spot,False
LRC/ETH,LRC,ETH,binance,spot,False
QTUM/BTC,QTUM,BTC,binance,spot,False
YOYOW/BTC,YOYOW,BTC,binance,spot,False
OMG/BTC,OMG,BTC,binance,spot,False
OMG/ETH,OMG,ETH,binance,spot,False
ZRX/BTC,ZRX,BTC,binance,spot,False
ZRX/ETH,ZRX,ETH,binance,spot,False
STRAT/BTC,STRAT,BTC,binance,spot,False
STRAT/ETH,STRAT,ETH,binance,spot,False
SNGLS/BTC,SNGLS,BTC,binance,spot,False
SNGLS/ETH,SNGLS,ETH,binance,spot,False
BQX/BTC,BQX,BTC,binance,spot,False
BQX/ETH,BQX,ETH,binance,spot,False
KNC/BTC,KNC,BTC,binance,spot,True
KNC/ETH,KNC,ETH,binance,spot,False
FUN/BTC,FUN,BTC,binance,spot,False
FUN/ETH,FUN,ETH,binance,spot,False
SNM/BTC,SNM,BTC,binance,spot,False
SNM/ETH,SNM,ETH,binance,spot,False
NEO/ETH,NEO,ETH,binance,spot,False
IOTA/BTC,IOTA,BTC,binance,spot,True
IOTA/ETH,IOTA,ETH,binance,spot,False
LINK/BTC,LINK,BTC,binance,spot,True
LINK/ETH,LINK,ETH,binance,spot,True
XVG/BTC,XVG,BTC,binance,spot,False
XVG/ETH,XVG,ETH,binance,spot,False
SALT/BTC,SALT,BTC,binance,spot,False
SALT/ETH,SALT,ETH,binance,spot,False
MDA/BTC,MDA,BTC,binance,spot,False
MDA/ETH,MDA,ETH,binance,spot,False
MTL/BTC,MTL,BTC,binance,spot,False
MTL/ETH,MTL,ETH,binance,spot,False
SUB/BTC,SUB,BTC,binance,spot,False
SUB/ETH,SUB,ETH,binance,spot,False
EOS/BTC,EOS,BTC,binance,spot,False
SNT/BTC,SNT,BTC,binance,spot,False
ETC/ETH,ETC,ETH,binance,spot,False
ETC/BTC,ETC,BTC,binance,spot,True
MTH/BTC,MTH,BTC,binance,spot,False
MTH/ETH,MTH,ETH,binance,spot,False
ENG/BTC,ENG,BTC,binance,spot,False
ENG/ETH,ENG,ETH,binance,spot,False
DNT/BTC,DNT,BTC,binance,spot,False
ZEC/BTC,ZEC,BTC,binance,spot,True
ZEC/ETH,ZEC,ETH,binance,spot,True
BNT/BTC,BNT,BTC,binance,spot,False
AST/BTC,AST,BTC,binance,spot,False
AST/ETH,AST,ETH,binance,spot,False
DASH/BTC,DASH,BTC,binance,spot,True
DASH/ETH,DASH,ETH,binance,spot,False
OAX/BTC,OAX,BTC,binance,spot,False
ICN/BTC,ICN,BTC,binance,spot,False
BTG/BTC,BTG,BTC,binance,spot,False
BTG/ETH,BTG,ETH,binance,spot,False
EVX/BTC,EVX,BTC,binance,spot,False
EVX/ETH,EVX,ETH,binance,spot,False
REQ/BTC,REQ,BTC,binance,spot,False
REQ/ETH,REQ,ETH,binance,spot,False
VIB/BTC,VIB,BTC,binance,spot,False
VIB/ETH,VIB,ETH,binance,spot,False
HSR/ETH,HSR,ETH,binance,spot,False
TRX/BTC,TRX,BTC,binance,spot,True
TRX/ETH,TRX,ETH,binance,spot,True
POWR/BTC,POWR,BTC,binance,spot,False
POWR/ETH,POWR,ETH,binance,spot,False
ARK/BTC,ARK,BTC,binance,spot,False
ARK/ETH,ARK,ETH,binance,spot,False
YOYOW/ETH,YOYOW,ETH,binance,spot,False
XRP/BTC,XRP,BTC,binance,spot,True
XRP/ETH,XRP,ETH,binance,spot,True
MOD/BTC,MOD,BTC,binance,spot,False
MOD/ETH,MOD,ETH,binance,spot,False
ENJ/BTC,ENJ,BTC,binance,spot,False
ENJ/ETH,ENJ,ETH,binance,spot,False
STORJ/BTC,STORJ,BTC,binance,spot,False
STORJ/ETH,STORJ,ETH,binance,spot,False
BNB/USDT,BNB,USDT,binance,spot,True
VEN/BNB,VEN,BNB,binance,spot,False
YOYOW/BNB,YOYOW,BNB,binance,spot,False
POWR/BNB,POWR,BNB,binance,spot,False
VEN/BTC,VEN,BTC,binance,spot,False
VEN/ETH,VEN,ETH,binance,spot,False
KMD/BTC,KMD,BTC,binance,spot,False
KMD/ETH,KMD,ETH,binance,spot,False
NULS/BNB,NULS,BNB,binance,spot,False
RCN/BTC,RCN,BTC,binance,spot,False
RCN/ETH,RCN,ETH,binance,spot,False
RCN/BNB,RCN,BNB,binance,spot,False
NULS/BTC,NULS,BTC,binance,spot,False
NULS/ETH,NULS,ETH,binance,spot,False
RDN/BTC,RDN,BTC,binance,spot,False
RDN/ETH,RDN,ETH,binance,spot,False
RDN/BNB,RDN,BNB,binance,spot,False
XMR/BTC,XMR,BTC,binance,spot,False
XMR/ETH,XMR,ETH,binance,spot,False
DLT/BNB,DLT,BNB,binance,spot,False
WTC/BNB,WTC,BNB,binance,spot,False
DLT/BTC,DLT,BTC,binance,spot,False
DLT/ETH,DLT,ETH,binance,spot,False
AMB/BTC,AMB,BTC,binance,spot,False
AMB/ETH,AMB,ETH,binance,spot,False
AMB/BNB,AMB,BNB,binance,spot,False
BCC/ETH,BCC,ETH,binance,spot,False
BCC/USDT,BCC,USDT,binance,spot,False
BCC/BNB,BCC,BNB,binance,spot,False
BAT/BTC,BAT,BTC,binance,spot,True
BAT/ETH,BAT,ETH,binance,spot,False
BAT/BNB,BAT,BNB,binance,spot,False
BCPT/BTC,BCPT,BTC,binance,spot,False
BCPT/ETH,BCPT,ETH,binance,spot,False
BCPT/BNB,BCPT,BNB,binance,spot,False
ARN/BTC,ARN,BTC,binance,spot,False
ARN/ETH,ARN,ETH,binance,spot,False
GVT/BTC,GVT,BTC,binance,spot,False
GVT/ETH,GVT,ETH,binance,spot,False
CDT/BTC,CDT,BTC,binance,spot,False
CDT/ETH,CDT,ETH,binance,spot,False
GXS/BTC,GXS,BTC,binance,spot,False
GXS/ETH,GXS,ETH,binance,spot,False
NEO/USDT,NEO,USDT,binance,spot,True
NEO/BNB,NEO,BNB,binance,spot,False
POE/BTC,POE,BTC,binance,spot,False
POE/ETH,POE,ETH,binance,spot,False
QSP/BTC,QSP,BTC,binance,spot,False
QSP/ETH,QSP,ETH,binance,spot,False
QSP/BNB,QSP,BNB,binance,spot,False
BTS/BTC,BTS,BTC,binance,spot,False
BTS/ETH,BTS,ETH,binance,spot,False
BTS/BNB,BTS,BNB,binance,spot,False
XZC/BTC,XZC,BTC,binance,spot,False
XZC/ETH,XZC,ETH,binance,spot,False
XZC/BNB,XZC,BNB,binance,spot,False
LSK/BTC,LSK,BTC,binance,spot,False
LSK/ETH,LSK,ETH,binance,spot,False
LSK/BNB,LSK,BNB,binance,spot,False
TNT/BTC,TNT,BTC,binance,spot,False
TNT/ETH,TNT,ETH,binance,spot,False
FUEL/BTC,FUEL,BTC,binance,spot,False
FUEL/ETH,FUEL,ETH,binance,spot,False
MANA/BTC,MANA,BTC,binance,spot,False
MANA/ETH,MANA,ETH,binance,spot,False
BCD/BTC,BCD,BTC,binance,spot,False
BCD/ETH,BCD,ETH,binance,spot,False
DGD/BTC,DGD,BTC,binance,spot,False
DGD/ETH,DGD,ETH,binance,spot,False
IOTA/BNB,IOTA,BNB,binance,spot,False
ADX/BTC,ADX,BTC,binance,spot,True
ADX/ETH,ADX,ETH,binance,spot,False
ADX/BNB,ADX,BNB,binance,spot,False
ADA/BTC,ADA,BTC,binance,spot,True
ADA/ETH,ADA,ETH,binance,spot,True
PPT/BTC,PPT,BTC,binance,spot,False
